"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;annee;periode;montant;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;2022;11;153.16;120;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;2022;12;114.87;90;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/27 16:30:00";="800000069";3400894501244;9450124;9450124;CDAPA01;2022;12;20.416;16;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:38";="020000022";3400892716923;9271692;9271692;I000531;2022;8;5.017;29;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:38";="020000022";3400894113607;9411360;9411360;I000531;2022;9;6.72;30;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:38";="020000022";3400894113607;9411360;9411360;I000531;2022;10;6.944;31;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:38";="020000022";3400894113607;9411360;9411360;I000531;2022;11;3.4;17;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:38";="020000022";3400894501244;9450124;9450124;CDAPA01;2022;11;41.551;37;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:38";="020000022";3400894113607;9411360;9411360;I000531;2022;12;8.051;43;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:38";="020000022";3400894501244;9450124;9450124;CDAPA01;2022;12;59.519;53;2022.12;X020000022;31JAN23;11:17:03
