"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nbsej;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:40:02";="620101360";3186838;2;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:02";="620101360";3422629;1;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:02";="620101360";3424427;2;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:02";="620101360";3428900;1;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:02";="620101360";3486374;2;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:02";="620101360";8416817;1;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/31 11:50:17";="590780193";3124263;2;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:50:17";="590780193";3186838;1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 15:44:07";="590782215";3176260;2;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/09/01 18:27:48";="590000188";3150071;1;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/05 17:45:53";="800000044";3187401;5;2023.7;X800000044;05SEP23;17:44:11
